signal_time,ticker,symbol,data_source,is_risky,is_short,strategy,outcome,entry_time,entry_price,first_tp_price,sl_price,exit_time,tps_in_signal,tps_hit,duration_h,pnl_usdt,pnl_pct,fees_usdt,fills_json
2026-05-11 15:31:16+00:00,OPG,CG:opengradient,coingecko,False,False,B_TIERED_FIXED_SL,FULL_TIMEOUT,2026-05-11 15:35:23.785000+00:00,0.32468334659347237,0.365,0.24,2026-05-12 11:05:46.648000+00:00,2,0,19.506350833333332,-1.6046241049049859,-0.016046241049049857,0.397585923637465,"[{""qty"": 307.9923902755857, ""price"": 0.320764294631872, ""time"": ""2026-05-12 11:05:46.648000+00:00"", ""reason"": ""TIMEOUT""}]"
2026-02-17 04:03:35+00:00,PROM,PROMUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,PARTIAL+TRAIL,2026-02-17 04:15:00+00:00,1.54,1.6,1.37,2026-02-17 07:00:00+00:00,2,1,2.75,4.1234025974025865,0.04123402597402587,0.409064935064935,"[{""qty"": 38.96103896103896, ""price"": 1.6, ""time"": ""2026-02-17 06:30:00+00:00"", ""reason"": ""TP1""}, {""qty"": 25.97402597402597, ""price"": 1.6244999999999998, ""time"": ""2026-02-17 07:00:00+00:00"", ""reason"": ""TRAIL_STOP""}]"
2026-02-17 15:02:22+00:00,TNSR,TNSRUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-02-17 15:15:00+00:00,0.0552,0.065,0.0486,2026-02-19 13:30:00+00:00,3,0,46.25,-12.332608695652176,-0.12332608695652177,0.3760869565217392,"[{""qty"": 1811.5942028985507, ""price"": 0.0486, ""time"": ""2026-02-19 13:30:00+00:00"", ""reason"": ""SL""}]"
2026-02-21 01:45:57+00:00,USELESS,ccxt:mexc,ccxt_global,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-02-21 02:00:00+00:00,0.043884,0.047,0.038,2026-02-22 03:00:00+00:00,2,0,25.0,-13.78125968462309,-0.1378125968462309,0.3731838483274087,"[{""qty"": 2278.7348464132715, ""price"": 0.038, ""time"": ""2026-02-22 03:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-04 22:52:38+00:00,COOKIE,COOKIEUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-04 23:00:00+00:00,0.0225,0.025,0.02,2026-03-06 16:00:00+00:00,3,0,41.0,-11.488888888888892,-0.11488888888888893,0.37777777777777777,"[{""qty"": 4444.444444444444, ""price"": 0.02, ""time"": ""2026-03-06 16:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-04 23:04:31+00:00,USELESS,ccxt:mexc,ccxt_global,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-05 00:00:00+00:00,0.047058,0.053,0.037,2026-03-08 16:00:00+00:00,2,0,88.0,-21.73087679034383,-0.2173087679034383,0.35725275192315864,"[{""qty"": 2125.0371881507926, ""price"": 0.037, ""time"": ""2026-03-08 16:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-04 23:12:38+00:00,WET,ccxt:mexc,ccxt_global,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_TIMEOUT,2026-03-05 00:00:00+00:00,0.11636,0.143,0.096,2026-03-18 23:00:00+00:00,2,0,335.0,-8.28210725335168,-0.08282107253351681,0.38420419388105875,"[{""qty"": 859.4018563080095, ""price"": 0.10717, ""time"": ""2026-03-18 23:00:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-03-08 05:47:21+00:00,SENT,SENTUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-08 06:00:00+00:00,0.02383,0.027,0.0224,2026-03-09 00:00:00+00:00,2,0,18.0,-6.3888375996642965,-0.06388837599664296,0.3879983214435585,"[{""qty"": 4196.39110365086, ""price"": 0.0224, ""time"": ""2026-03-09 00:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-09 05:36:38+00:00,TRIA,ccxt:mexc,ccxt_global,False,False,C_TIERED_TRAIL_AFTER_TP1,PARTIAL+TRAIL,2026-03-09 06:00:00+00:00,0.02589,0.028,0.019,2026-03-11 01:00:00+00:00,2,1,43.0,6.556318269602166,0.06556318269602165,0.4139405175743531,"[{""qty"": 2317.497103128621, ""price"": 0.028, ""time"": ""2026-03-10 20:00:00+00:00"", ""reason"": ""TP1""}, {""qty"": 1544.9980687524144, ""price"": 0.0272365, ""time"": ""2026-03-11 01:00:00+00:00"", ""reason"": ""TRAIL_STOP""}]"
2026-03-15 02:50:29+00:00,HOOK,CG:hooked-protocol,coingecko,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-15 03:14:06.470000+00:00,0.022468032705643286,0.03,0.018,2026-03-18 10:03:38.315000+00:00,2,0,78.82551249999999,-20.246404438925406,-0.20246404438925406,0.3602276464149792,"[{""qty"": 4450.7679559716435, ""price"": 0.018, ""time"": ""2026-03-18 10:03:38.315000+00:00"", ""reason"": ""SL""}]"
2026-03-17 05:32:49+00:00,PENDLE,PENDLEUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-17 05:45:00+00:00,1.344,1.56,1.23,2026-03-19 12:45:00+00:00,2,0,55.0,-8.865178571428576,-0.08865178571428575,0.38303571428571426,"[{""qty"": 74.4047619047619, ""price"": 1.23, ""time"": ""2026-03-19 12:45:00+00:00"", ""reason"": ""SL""}]"
2026-03-18 03:33:31+00:00,COLLECT,ccxt:mexc,ccxt_global,False,False,C_TIERED_TRAIL_AFTER_TP1,PARTIAL+TRAIL,2026-03-18 04:00:00+00:00,0.07116,0.085,0.0442,2026-03-23 11:00:00+00:00,2,1,127.0,16.626025857223166,0.16626025857223165,0.4341202922990444,"[{""qty"": 843.1703204047218, ""price"": 0.085, ""time"": ""2026-03-23 09:00:00+00:00"", ""reason"": ""TP1""}, {""qty"": 562.1135469364812, ""price"": 0.08075, ""time"": ""2026-03-23 11:00:00+00:00"", ""reason"": ""TRAIL_STOP""}]"
2026-03-23 15:51:41+00:00,TAO,TAOUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,PARTIAL+TRAIL,2026-03-23 16:00:00+00:00,282.3,320.0,244.0,2026-03-24 10:15:00+00:00,2,1,18.25,10.813093871767622,0.10813093871767622,0.4224711300035423,"[{""qty"": 0.21253985122210414, ""price"": 320.0, ""time"": ""2026-03-24 07:45:00+00:00"", ""reason"": ""TP1""}, {""qty"": 0.14169323414806942, ""price"": 305.045, ""time"": ""2026-03-24 10:15:00+00:00"", ""reason"": ""TRAIL_STOP""}]"
2026-03-23 15:52:42+00:00,TURBO,TURBOUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-23 16:00:00+00:00,0.001155,0.0014,0.00099,2026-03-29 22:30:00+00:00,2,0,150.5,-14.65714285714285,-0.1465714285714285,0.37142857142857144,"[{""qty"": 86580.08658008659, ""price"": 0.00099, ""time"": ""2026-03-29 22:30:00+00:00"", ""reason"": ""SL""}]"
2026-03-24 02:05:11+00:00,4,CG:4-2,coingecko,False,False,C_TIERED_TRAIL_AFTER_TP1,ALL_TPS_FILLED,2026-03-24 03:03:48.480000+00:00,0.010097678102714353,0.0125,0.008353,2026-03-27 22:02:24.705000+00:00,1,1,90.97672916666666,23.3432529449181,0.233432529449181,0.4475816692282928,"[{""qty"": 9903.266769131711, ""price"": 0.0125, ""time"": ""2026-03-27 22:02:24.705000+00:00"", ""reason"": ""TP1""}]"
2026-03-25 01:18:49+00:00,BR,CG:bedrock-token,coingecko,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-25 02:01:48.155000+00:00,0.1677325706745406,0.19,0.1,2026-04-01 03:02:32.275000+00:00,1,0,169.01225555555556,-40.700524377196444,-0.40700524377196445,0.3192374260978027,"[{""qty"": 596.1871304890135, ""price"": 0.1, ""time"": ""2026-04-01 03:02:32.275000+00:00"", ""reason"": ""SL""}]"
2026-03-26 03:33:51+00:00,TAKE,CG:overtake,coingecko,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-26 04:04:24.778000+00:00,0.018231283076795956,0.022,0.0175,2026-03-26 07:04:08.410000+00:00,1,0,2.9954533333333333,-4.403122037917616,-0.044031220379176166,0.3919777113468585,"[{""qty"": 5485.077467053099, ""price"": 0.0175, ""time"": ""2026-03-26 07:04:08.410000+00:00"", ""reason"": ""SL""}]"
2026-03-26 04:31:23+00:00,FHE,CG:mind-network,coingecko,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-26 05:02:54.972000+00:00,0.019232063815151437,0.0225,0.01785,2026-03-27 05:01:29.512000+00:00,1,0,23.97626111111111,-7.571875576008076,-0.07571875576008076,0.3856275038556952,"[{""qty"": 5199.649967946645, ""price"": 0.01785, ""time"": ""2026-03-27 05:01:29.512000+00:00"", ""reason"": ""SL""}]"
2026-03-27 12:23:39+00:00,TA,CG:trusta-ai,coingecko,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-27 13:00:22.242000+00:00,0.06390222124726422,0.08,0.05,2026-03-28 11:02:33.678000+00:00,2,0,22.03651,-22.11194761929136,-0.2211194761929136,0.3564890829272718,"[{""qty"": 1564.890829272718, ""price"": 0.05, ""time"": ""2026-03-28 11:02:33.678000+00:00"", ""reason"": ""SL""}]"
2026-03-27 12:10:03+00:00,APR,CG:apriori,coingecko,False,False,C_TIERED_TRAIL_AFTER_TP1,PARTIAL+TRAIL,2026-03-27 13:01:42.084000+00:00,0.1560514551859665,0.18,0.14,2026-04-03 01:02:24.778000+00:00,2,1,156.01185944444444,14.106012642716406,0.14106012642716406,0.4290701656166661,"[{""qty"": 384.488564547495, ""price"": 0.18, ""time"": ""2026-04-01 18:02:31.568000+00:00"", ""reason"": ""TP1""}, {""qty"": 256.32570969833, ""price"": 0.17683415855213871, ""time"": ""2026-04-03 01:02:24.778000+00:00"", ""reason"": ""TRAIL_STOP""}]"
2026-03-27 23:30:36+00:00,PIXEL,PIXELUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-03-27 23:45:00+00:00,0.00895,0.0107,0.0074,2026-04-02 09:30:00+00:00,3,0,129.75,-17.683798882681554,-0.17683798882681553,0.3653631284916201,"[{""qty"": 11173.1843575419, ""price"": 0.0074, ""time"": ""2026-04-02 09:30:00+00:00"", ""reason"": ""SL""}]"
2026-04-02 02:17:06+00:00,KERNEL,KERNELUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-04-02 02:30:00+00:00,0.1118,0.14,0.086,2026-04-08 22:45:00+00:00,2,0,164.25,-23.430769230769233,-0.23430769230769233,0.35384615384615387,"[{""qty"": 894.4543828264759, ""price"": 0.086, ""time"": ""2026-04-08 22:45:00+00:00"", ""reason"": ""SL""}]"
2026-04-03 05:46:19+00:00,SYN,SYNUSDT,binance,False,False,C_TIERED_TRAIL_AFTER_TP1,FULL_SL,2026-04-03 06:00:00+00:00,0.058,0.069,0.0448,2026-04-11 02:00:00+00:00,2,0,188.0,-23.11310344827588,-0.2311310344827588,0.3544827586206897,"[{""qty"": 1724.1379310344826, ""price"": 0.0448, ""time"": ""2026-04-11 02:00:00+00:00"", ""reason"": ""SL""}]"
